,European Union Emissions Trading System (until 2018),,,, ,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, ,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
10/30/2015,1,1.123509091,EUR,8.59, ,,,,,, 
11/2/2015,1,1.0736,EUR,8.54, ,,,,,, 
11/3/2015,1,1.0736,EUR,8.58, ,,,,,, 
11/4/2015,1,1.0736,EUR,8.25, ,,,,,, 
11/5/2015,1,1.0736,EUR,8.4, ,,,,,, 
11/6/2015,1,1.0736,EUR,8.45, ,,,,,, 
11/9/2015,1,1.0736,EUR,8.35, ,,,,,, 
11/10/2015,1,1.0736,EUR,8.28, ,,,,,, 
11/11/2015,1,1.0736,EUR,, ,,,,,, 
11/12/2015,1,1.0736,EUR,8.36, ,,,,,, 
11/13/2015,1,1.0736,EUR,8.34, ,,,,,, 
11/16/2015,1,1.0736,EUR,8.43, ,,,,,, 
11/17/2015,1,1.0736,EUR,8.49, ,,,,,, 
11/18/2015,1,1.0736,EUR,8.51, ,,,,,, 
11/19/2015,1,1.0736,EUR,8.57, ,,,,,, 
11/20/2015,1,1.0736,EUR,8.59, ,,,,,, 
11/23/2015,1,1.0736,EUR,8.46, ,,,,,, 
11/24/2015,1,1.0736,EUR,8.63, ,,,,,, 
11/25/2015,1,1.0736,EUR,, ,,,,,, 
11/26/2015,1,1.0736,EUR,8.61, ,,,,,, 
11/27/2015,1,1.0736,EUR,8.54, ,,,,,, 
11/30/2015,1,1.0736,EUR,8.55, ,,,,,, 
12/1/2015,1,1.087718182,EUR,8.52, ,,,,,, 
12/2/2015,1,1.087718182,EUR,, ,,,,,, 
12/3/2015,1,1.087718182,EUR,8.44, ,,,,,, 
12/4/2015,1,1.087718182,EUR,8.56, ,,,,,, 
12/7/2015,1,1.087718182,EUR,8.42, ,,,,,, 
12/8/2015,1,1.087718182,EUR,8.33, ,,,,,, 
12/9/2015,1,1.087718182,EUR,, ,,,,,, 
12/10/2015,1,1.087718182,EUR,8.32, ,,,,,, 
12/11/2015,1,1.087718182,EUR,7.98, ,,,,,, 
12/14/2015,1,1.087718182,EUR,7.92, ,,,,,, 
12/15/2015,1,1.087718182,EUR,8.05, ,,,,,, 
12/16/2015,1,1.087718182,EUR,, ,,,,,, 
12/17/2015,1,1.087718182,EUR,8.12, ,,,,,, 
12/18/2015,1,1.087718182,EUR,, ,,,,,, 
12/21/2015,1,1.087718182,EUR,, ,,,,,, 
12/22/2015,1,1.087718182,EUR,, ,,,,,, 
12/23/2015,1,1.087718182,EUR,, ,,,,,, 
12/28/2015,1,1.087718182,EUR,, ,,,,,, 
12/29/2015,1,1.087718182,EUR,, ,,,,,, 
12/30/2015,1,1.087718182,EUR,, ,,,,,, 
1/4/2016,1,1.085965,EUR,, ,,,,,, 
1/5/2016,1,1.085965,EUR,, ,,,,,, 
1/6/2016,1,1.085965,EUR,, ,,,,,, 
1/7/2016,1,1.085965,EUR,, ,,,,,, 
1/8/2016,1,1.085965,EUR,, ,,,,,, 
1/11/2016,1,1.085965,EUR,7.45, ,,,,,, 
1/12/2016,1,1.085965,EUR,7.04, ,,,,,, 
1/13/2016,1,1.085965,EUR,, ,,,,,, 
1/14/2016,1,1.085965,EUR,7.05, ,,,,,, 
1/15/2016,1,1.085965,EUR,6.71, ,,,,,, 
1/18/2016,1,1.085965,EUR,6.52, ,,,,,, 
1/19/2016,1,1.085965,EUR,6.81, ,,,,,, 
1/20/2016,1,1.085965,EUR,6.57, ,,,,,, 
1/21/2016,1,1.085965,EUR,6.04, ,,,,,, 
1/22/2016,1,1.085965,EUR,6.33, ,,,,,, 
1/25/2016,1,1.085965,EUR,5.93, ,,,,,, 
1/26/2016,1,1.085965,EUR,5.8, ,,,,,, 
1/27/2016,1,1.085965,EUR,, ,,,,,, 
1/28/2016,1,1.085965,EUR,6.02, ,,,,,, 
1/29/2016,1,1.085965,EUR,6.06, ,,,,,, 
2/1/2016,1,1.109295238,EUR,5.75, ,,,,,, 
2/2/2016,1,1.109295238,EUR,5.57, ,,,,,, 
2/3/2016,1,1.109295238,EUR,5.7, ,,,,,, 
2/4/2016,1,1.109295238,EUR,5.55, ,,,,,, 
2/5/2016,1,1.109295238,EUR,5.55, ,,,,,, 
2/8/2016,1,1.109295238,EUR,5.25, ,,,,,, 
2/9/2016,1,1.109295238,EUR,5.19, ,,,,,, 
2/10/2016,1,1.109295238,EUR,, ,,,,,, 
2/11/2016,1,1.109295238,EUR,4.65, ,,,,,, 
2/12/2016,1,1.109295238,EUR,4.94, ,,,,,, 
2/15/2016,1,1.109295238,EUR,4.97, ,,,,,, 
2/16/2016,1,1.109295238,EUR,4.78, ,,,,,, 
